# #Frequency(Hz) #PhaseVelocity(m/s) #BesselOrdinat #BesselAbsis #SPACCoefficient 
1.236897850781442010e+01 2.105199437152709265e+02 5.537474216473640354e+00 5.909677092253072701e-03 -1.543903893619358314e-16
1.267066592866296837e+01 2.168287050890860144e+02 5.507490945152772710e+00 -4.287746643413642075e-03 6.938893903907228378e-17
1.297234401264866044e+01 2.204178735041002426e+02 5.546803442310470622e+00 9.070667412393899551e-03 3.642919299551294898e-17
1.327402940276586918e+01 2.246540201137265456e+02 5.568775475393706209e+00 1.649081780281817788e-02 3.469446951953614189e-17
1.357571064713747866e+01 2.395162071123140493e+02 5.341937401711026823e+00 -6.128927478997652639e-02 0.000000000000000000e+00
1.387739285212829898e+01 2.499771828466439558e+02 5.232131381603544185e+00 -9.924122300739372793e-02 4.163336342344337027e-17
1.417907653459744566e+01 2.501483570850447222e+02 5.342215698898375997e+00 -6.119295409308390943e-02 -5.551115123125782702e-17
1.448075740422107671e+01 2.554117056582291525e+02 5.343448252961995770e+00 -6.076636154038584509e-02 9.714451465470119729e-17
1.478244133738096266e+01 2.608123721602318597e+02 5.341818187878041968e+00 -6.133053565497859072e-02 -1.040834085586084257e-16
1.508412276824594578e+01 2.620159592261743455e+02 5.425795750898760872e+00 -3.231018034324800031e-02 1.457167719820517959e-16
1.538580571204735747e+01 2.654416435266262511e+02 5.462888213658830594e+00 -1.955055406626107078e-02 2.046973701652632371e-16
1.568748819163306685e+01 2.672894357213187959e+02 5.531497815068368240e+00 3.881625494565462894e-03 8.517492267046122834e-16
1.598917029719873817e+01 2.688848663016270280e+02 5.604420282210400117e+00 2.844787899046479981e-02 1.387778780781445676e-17
1.629085326800749201e+01 2.734751914772704708e+02 5.614318213402033741e+00 3.174889854935931260e-02 8.326672684688674053e-17
1.659253524070696173e+01 2.724085860067585259e+02 5.740676633666177864e+00 7.300535202858943196e-02 1.387778780781445676e-17
1.689421806415349181e+01 2.745878359564610491e+02 5.798663787157437355e+00 9.128683867949373421e-02 1.665334536937734811e-16
1.719590034307875825e+01 2.806323318575093140e+02 5.775084484966787279e+00 8.390875880464213066e-02 -4.163336342344337027e-17
1.749758282364108908e+01 2.789688796811851148e+02 5.911441919666986955e+00 1.253990239227594505e-01 1.387778780781445676e-16
1.779926538861449359e+01 2.816155637789891557e+02 5.956848474615980216e+00 1.385259336773646266e-01 -5.551115123125782702e-17
1.810094769115729818e+01 2.876066574383084458e+02 5.931622528774451730e+00 1.312791290332775140e-01 5.551115123125782702e-16
1.840263031655171488e+01 2.926894518291325653e+02 5.925758634064986374e+00 1.295780103743305878e-01 2.775557561562891351e-17
1.870431265467826165e+01 3.022826260231529432e+02 5.831760693571889753e+00 1.015062553367458986e-01 1.526556658859590243e-16
1.900599518647554476e+01 3.110658764033294688e+02 5.758499988077327103e+00 7.867308537801750989e-02 -4.163336342344337027e-16
1.930767763595796183e+01 3.161092193034570528e+02 5.756572840804404123e+00 7.806228167924901540e-02 1.526556658859590243e-16
1.960936007083727972e+01 3.213937512654362081e+02 5.750387613098991046e+00 7.609856161509197248e-02 5.551115123125782702e-17
1.991104258397432147e+01 3.317498603547357447e+02 5.656585811994689017e+00 4.574136902586357217e-02 -1.179611963664228824e-16
2.021272499349764473e+01 3.375993760161537125e+02 5.642796124027603888e+00 4.119565558605123995e-02 -2.359223927328457648e-16
2.051440749935984087e+01 3.409296523347469474e+02 5.671074204140249542e+00 5.049611091372059601e-02 -6.245004513516505540e-17
2.081608993703395427e+01 3.470175174579995883e+02 5.653519370004019606e+00 4.473220946823180943e-02 6.245004513516505540e-17
2.111777240703359482e+01 3.502918288915112157e+02 5.681842953407730157e+00 5.401548765599058222e-02 1.318389841742373392e-16
2.141945487733021736e+01 3.527974870609347136e+02 5.722081751242424907e+00 6.704875957931295816e-02 4.163336342344337027e-17
2.172113732476905312e+01 3.471792875636735971e+02 5.896575736931970901e+00 1.210217022071006371e-01 4.996003610813204432e-16
2.202281980522311144e+01 3.512587543380596458e+02 5.909039537687974075e+00 1.246942445133172039e-01 1.110223024625156540e-16
2.232450225353263562e+01 9.182334228511242600e+02 2.291394231446463259e+00 6.019239948073343283e-02 2.983724378680108202e-16
2.262618472567525174e+01 9.104094157908100442e+02 2.342317241453484744e+00 3.285882932787698857e-02 4.848751955499608357e-11
2.292786718548796543e+01 9.162991790233495522e+02 2.358291508757620836e+00 2.438602379195314168e-02 6.747866154732662380e-13
2.322954964669205680e+01 1.036884140918212580e+02 2.111454297631218679e+01 1.683515878709921504e-02 -1.075528555105620399e-16
2.353123211441601370e+01 1.227235866619817699e+02 1.807123177002129566e+01 3.150114292563036488e-05 3.043084447623689570e-16
2.383291457169957894e+01 1.516883978145420713e+02 1.480798342078075969e+01 2.543257455458166824e-02 -1.491862189340054101e-16
2.413459703962360692e+01 1.897411461089005229e+02 1.198808075822118369e+01 4.502134159953974368e-02 -5.551115123125782702e-17
2.443627949931901355e+01 1.924577649601360747e+02 1.196659997148392485e+01 4.019053262291084200e-02 1.318389841742373392e-16
2.473796196361498190e+01 1.945098550257481804e+02 1.198652884082230941e+01 4.467329085577031317e-02 1.318389841742373392e-16
2.503964442693792236e+01 2.002194919000991433e+02 1.178671900027878650e+01 -1.119620381643233933e-03 1.572093150103981429e-16
2.534132688846151993e+01 2.013928485340539680e+02 1.185922841319954912e+01 1.567915092024265919e-02 -7.285838599102589797e-17
2.564300935326831166e+01 1.314841139590643877e+02 1.838090261426787819e+01 5.675427701014824911e-02 -1.942890293094023946e-16
2.594469181457503382e+01 1.648196893450003984e+02 1.483578573559408298e+01 1.968231474986882959e-02 -9.298117831235686026e-16
2.624637427869913253e+01 1.366077224990694106e+02 1.810777936464558024e+01 6.883998216407020455e-03 -1.205632815803880931e-16
2.654805674114466285e+01 4.512407622348108589e+02 5.544923265265524925e+00 8.434095957105813834e-03 5.898059818321144121e-17
2.684973920407315617e+01 2.962358325954446059e+02 8.542276202235690619e+00 3.038733160036369285e-02 -7.285838599102589797e-17
2.715142166747232366e+01 2.999678277728261833e+02 8.530785532405376514e+00 3.352771388375875433e-02 1.110223024625156540e-16
2.745310412984526138e+01 3.010974608496186420e+02 8.593211315285660845e+00 1.647501786079371561e-02 -1.387778780781445676e-17
2.775478659337421306e+01 3.058639932169924691e+02 8.552255472762144706e+00 2.766016987400074165e-02 -1.769417945496343236e-16
2.805646905594163698e+01 3.077858774479509520e+02 8.591232106163264604e+00 1.701510379246558985e-02 -2.949029909160572061e-16
2.835815151910579246e+01 3.149291645109892670e+02 8.486647524703947454e+00 4.558512450396570020e-02 -1.873501354054951662e-16
2.865983398206455135e+01 3.204551905939616745e+02 8.429027820483087297e+00 6.128247770671778338e-02 1.110223024625156540e-16
2.896151644490889510e+01 3.194112932131483831e+02 8.545592084569451075e+00 2.948112748723925869e-02 3.469446951953614189e-17
2.926319890805076795e+01 3.221340067813254677e+02 8.561627966134864209e+00 2.509921412786598333e-02 1.838806884535415520e-16
